time,field.x,field.y,field.z
1460464712789447069,1502.0,474.0,0.525160610676
1460464712851330995,1491.0,479.0,0.540465414524
1460464712924148082,1476.0,487.0,0.531090557575
1460464712995574951,1464.0,492.0,0.537534594536
1460464713059271097,1453.0,498.0,0.538891971111
1460464713120328903,1438.0,505.0,0.557426393032
1460464713176959037,1429.0,511.0,0.544866204262
1460464713230765104,1417.0,518.0,0.575420022011
1460464713288382053,1406.0,525.0,0.564825832844
1460464713355072021,1395.0,533.0,0.554016709328
1460464713416511058,1386.0,540.0,0.548309326172
1460464713473362922,1373.0,554.0,0.527278661728
1460464713527479887,1359.0,571.0,0.522076666355
1460464713583853960,1348.0,584.0,0.516026496887
1460464713642788887,1334.0,601.0,0.50902569294
1460464713697376966,1323.0,615.0,0.520372867584
1460464713769121885,1312.0,629.0,0.515448391438
1460464713819236993,1300.0,649.0,0.533727407455
1460464713890269041,1293.0,664.0,0.517095625401
1460464713959302902,1284.0,685.0,0.538865745068
1460464714021012067,1278.0,700.0,0.548326134682
1460464714077814102,1271.0,719.0,0.551665425301
1460464714131884098,1265.0,731.0,0.554709255695
1460464714188170909,1260.0,740.0,0.570218920708
1460464714247517108,1252.0,750.0,0.566860318184
1460464714306821107,1246.0,757.0,0.568352639675
1460464714369465112,1239.0,764.0,0.574788093567
1460464714427566051,1230.0,773.0,0.563351809978
1460464714485286951,1223.0,779.0,0.565792262554
1460464714545650959,1216.0,786.0,0.569803655148
1460464714600913047,1206.0,796.0,0.566682219505
1460464714655000925,1199.0,803.0,0.569973051548
1460464714713313102,1193.0,811.0,0.571757137775
1460464714781028985,1184.0,822.0,0.562025308609
1460464714840867996,1178.0,830.0,0.577997267246
1460464714897464990,1172.0,838.0,0.559407830238
1460464714952167034,1163.0,849.0,0.57329839468
1460464715010253906,1157.0,856.0,0.570340037346
1460464715068375110,1151.0,863.0,0.578077375889
1460464715126490116,1143.0,870.0,0.581847548485
1460464715188043117,1138.0,874.0,0.564791142941
1460464715250945091,1132.0,877.0,0.566844105721
1460464715310884952,1128.0,882.0,0.554797768593
1460464715373481988,1127.0,885.0,0.581320047379
1460464715440083026,1129.0,890.0,0.570112347603
1460464715501393079,1131.0,895.0,0.574380040169
1460464715561860084,1135.0,900.0,0.562747716904
1460464715644855022,1142.0,908.0,0.57989525795
1460464715735294103,1150.0,915.0,0.568341195583
1460464715808249950,1161.0,924.0,0.551352083683
1460464715869267940,1170.0,931.0,0.543558597565
1460464715945759057,1180.0,937.0,0.574759781361
1460464716025655031,1187.0,938.0,0.576312482357
1460464716095367908,1195.0,939.0,0.550739467144
1460464716155371904,1202.0,939.0,0.587215185165
1460464716217084884,1210.0,941.0,0.546584665775
1460464716282578945,1221.0,944.0,0.577309727669
1460464716343050003,1233.0,948.0,0.559041261673
1460464716406265974,1241.0,952.0,0.58715647459
1460464716474870920,1250.0,957.0,0.541967451572
1460464716537548065,1265.0,964.0,0.558133840561
1460464716596115112,1277.0,970.0,0.558299303055
1460464716657454967,1291.0,977.0,0.581591486931
1460464716728298902,1301.0,981.0,0.548728764057
1460464716791131973,1312.0,984.0,0.571799695492
1460464716881180047,1319.0,983.0,0.557773172855
1460464716943015098,1328.0,980.0,0.583577215672
1460464716999459981,1333.0,977.0,0.57280343771
1460464717055424928,1338.0,973.0,0.58087939024
1460464717116172075,1340.0,971.0,0.565846502781
1460464717175201892,1342.0,970.0,0.569326639175
1460464717230840921,1342.0,969.0,0.582395255566
1460464717287331104,1342.0,969.0,0.560246288776
1460464717339461088,1342.0,971.0,0.560602843761
1460464717391742944,1340.0,972.0,0.561242580414
1460464717444828987,1337.0,975.0,0.564888060093
1460464717497288942,1334.0,978.0,0.579105198383
1460464717550116062,1328.0,982.0,0.572284698486
1460464717601926088,1321.0,988.0,0.543908655643
1460464717653956890,1316.0,992.0,0.555146157742
1460464717705769062,1309.0,997.0,0.568258404732
1460464717756751060,1299.0,1004.0,0.556480765343
1460464717808837890,1290.0,1010.0,0.571383774281
1460464717861078977,1278.0,1018.0,0.54759734869
1460464717913180112,1269.0,1023.0,0.56654471159
1460464720423095941,1259.0,1029.0,0.552758157253
